Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.147.186.41,224.0.0.251,5353,5353,17,413,2,0,164,0,82,82,82,0.0,0,0,0.0,0.0,397094.430993,4842.615012,413,0.0,413,413,413,413,0.0,413,413,0,0.0,0.0,0,0,0,0,0,0,56,0,4842.615012,0.0,82,82,82,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82,82,0.0,0,0,0,0,0,0,2,164,0,0,0,0,2,82,413,0.0,413,413,0.0,0.0,0,0
fe80::5e2c:e7df:d5ca:b4f0,ff02::fb,5353,5353,17,279,2,0,204,0,102,102,102,0.0,0,0,0.0,0.0,731182.795699,7168.458781,279,0.0,279,279,279,279,0.0,279,279,0,0.0,0.0,0,0,0,0,0,0,96,0,7168.458781,0.0,102,102,102,0.0,0.0,0,0,0,0,0,0,0,0,0.0,102,102,0.0,0,0,0,0,0,0,2,204,0,0,0,0,2,102,279,0.0,279,279,0.0,0.0,0,0
2402:3a80:42b2:79e1:11b2:2549:7ec8:de2,2606:4700::6810:422,64202,443,6,9567398,656,803,59115,2334170,1414,74,90.114329,117.619807,41614,74,2906.811955,2090.036801,250150.040795,152.497053,6562.001372,56024.023322,1019304,0,9567398,14606.714504,86600.844003,1053307,0,9503082,11849.229426,84972.493791,1368222,0,1,1,0,0,39408,48228,68.566187,83.930866,74,41614,1640.359836,2091.342284,4373712.550128,0,0,0,687,1459,0,0,0,1.224085,1640.359836,90.114329,2906.811955,0,0,0,0,0,0,656,59115,803,2334170,254,16,18,74,9567398,0.0,9567398,9567398,0.0,0.0,0,0
fe80::30ef:cdff:fedd:74a1,ff02::1:ffe5:f901,0,0,58,7531547,2,0,172,0,86,86,86,0.0,0,0,0.0,0.0,22.837274,0.26555,7531547,0.0,7531547,7531547,7531547,7531547,0.0,7531547,7531547,0,0.0,0.0,0,0,0,0,0,0,80,0,0.26555,0.0,86,86,86,0.0,0.0,0,0,0,0,0,0,0,0,0.0,86,86,0.0,0,0,0,0,0,0,2,172,0,0,0,0,0,86,0,0.0,0,0,7531547,0.0,7531547,7531547
10.147.186.41,239.255.255.250,58224,1900,17,0,1,0,179,0,179,179,179,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,0,0,0,179,179,179,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179,179,0.0,0,0,0,0,0,0,1,179,0,0,0,0,1,179,0.0,0.0,0,0,0.0,0.0,0,0
2402:3a80:42b2:79e1:11b2:2549:7ec8:de2,2001:4860:4840:400::,55789,443,17,626160,5,5,834,625,274,94,166.8,97.865724,242,84,125,67.186308,2330.07538,15.970359,69573.333333,103138.411335,317667,0,569976,142494,131961.444503,318203,116,410218,102554.5,169351.18043,353382,0,0,0,0,0,240,240,7.98518,7.98518,84,274,145.9,82.148172,6748.322222,0,0,0,0,0,0,0,0,1.0,145.9,166.8,125,0,0,0,0,0,0,5,834,5,625,0,0,5,94,626160,0.0,626160,626160,0.0,0.0,0,0
10.147.186.41,8.8.8.8,53762,53,17,889724,2,2,163,536,89,74,81.5,10.606602,307,229,268,55.154329,785.636894,4.495776,296574.666667,375261.252335,728302,48623,776925,776925,0.0,776925,776925,841101,841101,0.0,841101,841101,0,0,0,0,56,56,2.247888,2.247888,74,307,174.75,112.452583,12645.583333,0,0,0,0,0,0,0,0,1.0,174.75,81.5,268,0,0,0,0,0,0,2,163,2,536,0,0,2,74,889724,0.0,889724,889724,0.0,0.0,0,0
10.147.186.41,8.8.8.8,51975,53,17,893774,2,2,163,746,89,74,81.5,10.606602,472,274,373,140.007143,1017.035626,4.475404,297924.666667,374496.236996,728529,48237,776766,776766,0.0,776766,776766,845537,845537,0.0,845537,845537,0,0,0,0,56,56,2.237702,2.237702,74,472,227.25,186.803596,34895.583333,0,0,0,0,0,0,0,0,1.0,227.25,81.5,373,0,0,0,0,0,0,2,163,2,746,0,0,2,74,893774,0.0,893774,893774,0.0,0.0,0,0
10.147.186.41,52.182.141.63,58974,443,6,2335093,16,15,4454,5543,1394,54,278.375,443.199259,1394,54,369.533333,536.664017,4281.199935,13.275703,77836.433333,152619.93384,452623,0,2335093,155672.866667,196214.62173,452870,0,1980855,141489.642857,198137.664734,454311,0,1,1,0,0,652,612,6.851975,6.423727,54,1394,322.483871,484.521542,234761.124731,2,2,1,12,30,0,0,0,0.9375,322.483871,278.375,369.533333,0,0,0,0,0,0,16,4454,15,5543,65535,65535,8,54,2335093,0.0,2335093,2335093,0.0,0.0,0,0
192.178.211.188,10.147.186.41,5228,61995,6,0,1,0,66,0,66,66,66,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,52,0,0,0,66,66,66,0.0,0.0,0,1,0,0,1,0,0,0,0.0,66,66,0.0,0,0,0,0,0,0,1,66,0,0,65535,0,0,66,0.0,0.0,0,0,0.0,0.0,0,0
